id_municipio,id_municipio_6,id_municipio_tse,id_municipio_rf,id_municipio_bcb,nome,capital_uf,id_comarca,id_regiao_saude,nome_regiao_saude,id_regiao_imediata,nome_regiao_imediata,id_regiao_intermediaria,nome_regiao_intermediaria,id_microrregiao,nome_microrregiao,id_mesorregiao,nome_mesorregiao,id_regiao_metropolitana,nome_regiao_metropolitana,ddd,id_uf,sigla_uf,nome_uf,nome_regiao,amazonia_legal,centroide
5101837,510183,,,,Boa Esperança do Norte,,,,,510008,Sorriso,5103,Sinop,,,,,,,,51,MT,Mato Grosso,Centro-Oeste,1,POINT(-54.9417429754238 -13.463197935201)
1100809,110080,477.0,681.0,46961.0,Candeias do Jamari,0.0,1100205.0,11004.0,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,101,Região Metropolitana de Porto Velho,69.0,11,RO,Rondônia,Norte,1,POINT(-63.3254198532114 -8.88702392955617)
1100338,110033,434.0,47.0,44516.0,Nova Mamoré,0.0,1100106.0,11004.0,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-64.6295025002404 -10.3822863210755)
1100205,110020,35.0,3.0,30719.0,Porto Velho,1.0,1100205.0,11004.0,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,101,Região Metropolitana de Porto Velho,69.0,11,RO,Rondônia,Norte,1,POINT(-64.3041357999869 -9.15394033687075)
1101104,110110,493.0,683.0,46851.0,Itapuã do Oeste,0.0,1100205.0,11004.0,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.044960463046 -9.17019402601564)
1100940,110094,680.0,8.0,56652.0,Cujubim,0.0,1100023.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.5652673033848 -9.1709863446154)
1100452,110045,779.0,4.0,56638.0,Buritis,0.0,1100452.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.9412277150937 -10.052095567536)
1100700,110070,671.0,679.0,46947.0,Campo Novo de Rondônia,0.0,1100452.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11001.0,Porto Velho,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.7997903925811 -10.484878565906)
1100106,110010,19.0,1.0,22882.0,Guajará-Mirim,0.0,1100106.0,11004.0,Madeira-Mamoré,110001,Porto Velho,1101,Porto Velho,11002.0,Guajará-Mirim,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-64.537710733004 -11.3055098790143)
1101492,110149,795.0,20.0,56717.0,São Francisco do Guaporé,0.0,1101492.0,11007.0,Vale do Guaporé,110004,Ji-Paraná,1102,Ji-Paraná,11002.0,Guajará-Mirim,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.1226712699562 -12.3688265389959)
1100080,110008,213.0,21.0,41117.0,Costa Marques,0.0,1100080.0,11007.0,Vale do Guaporé,110004,Ji-Paraná,1102,Ji-Paraná,11002.0,Guajará-Mirim,1101.0,Madeira-Guaporé,,,69.0,11,RO,Rondônia,Norte,1,POINT(-64.0586026986492 -12.1470859394294)
1101401,110140,663.0,685.0,46507.0,Monte Negro,0.0,1100023.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.3724143382525 -10.2109441112104)
1100262,110026,647.0,687.0,46916.0,Rio Crespo,0.0,1100023.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.7900702016081 -9.64518849498086)
1100403,110040,639.0,675.0,46909.0,Alto Paraíso,0.0,1100023.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.3941889058133 -9.64949873236446)
1100601,110060,620.0,677.0,46978.0,Cacaulândia,0.0,1100023.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.9872365107648 -10.3316252433648)
1100023,110002,78.0,7.0,9393.0,Ariquemes,0.0,1100023.0,11001.0,Vale do Jamari,110002,Ariquemes,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.9572500386403 -9.95200191172898)
1101757,110175,698.0,24.0,56731.0,Vale do Anari,0.0,1100130.0,11003.0,Central,110003,Jaru,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-61.9390187514678 -9.7324510362451)
1100130,110013,396.0,39.0,44547.0,Machadinho D'Oeste,0.0,1100130.0,11001.0,Vale do Jamari,110003,Jaru,1101,Porto Velho,11003.0,Ariquemes,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.0102481941873 -9.20393838734944)
1101005,110100,612.0,693.0,46624.0,Governador Jorge Teixeira,0.0,1100114.0,11003.0,Central,110003,Jaru,1101,Porto Velho,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-63.1838878487462 -10.7480058389103)
1101609,110160,590.0,975.0,46899.0,Theobroma,0.0,1100114.0,11003.0,Central,110003,Jaru,1101,Porto Velho,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.3423767358094 -10.1217399384339)
1100114,110011,159.0,15.0,41258.0,Jaru,0.0,1100114.0,11003.0,Central,110003,Jaru,1101,Porto Velho,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.5846289302498 -10.5922624897705)
1101435,110143,744.0,10.0,46992.0,Nova União,0.0,1100155.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.5324230615508 -10.8894263149336)
1100122,110012,51.0,5.0,38948.0,Ji-Paraná,0.0,1100122.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-61.7571804718937 -10.4618678835131)
1101559,110155,752.0,22.0,47001.0,Teixeirópolis,0.0,1100155.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.2798698638238 -10.9436411858726)
1101807,110180,558.0,979.0,47018.0,Vale do Paraíso,0.0,1100155.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.0938895264378 -10.3839889146631)
1101708,110170,566.0,977.0,46868.0,Urupá,0.0,1100346.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.4244266261899 -11.1039541581858)
1101302,110130,574.0,697.0,46875.0,Mirante da Serra,0.0,1100155.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.8479367307725 -11.0768194136507)
1100254,110025,191.0,19.0,41306.0,Presidente Médici,0.0,1100254.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-61.8779863440222 -11.1662597508561)
1100155,110015,175.0,17.0,41296.0,Ouro Preto do Oeste,0.0,1100155.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11004.0,Ji-Paraná,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.1725232327903 -10.6104388071409)
1100320,110032,418.0,45.0,44509.0,São Miguel do Guaporé,0.0,1100320.0,11003.0,Central,110004,Ji-Paraná,1102,Ji-Paraná,11005.0,Alvorada D'Oeste,1102.0,Leste Rondoniense,,,69.0,11,RO,Rondônia,Norte,1,POINT(-62.9837430533999 -11.614694302842)
